file_name,QuestionText,answer
synpic16937,was the ct scan taken with contrast?,yes
synpic29624,is this a t2 weighted image?,no
synpic10588,is this a noncontrast ct?,yes
synpic33574,was gi contrast given to the patient?,no
synpic19753,is this a t1 weighted image?,no
synpic37692,was the mri taken with contrast?,yes
synpic34500,is this a ct scan?,yes
synpic13036,is this a ct scan?,yes
synpic18810,is this a noncontrast ct?,no
synpic47344,is this an mri image?,yes
synpic47722,is this a noncontrast ct?,no
synpic600,is 	this a t1 weighted image?,yes
synpic59403,is this an mri image?,yes
synpic29038,is this a t1 weighted image?,no
synpic29835,was iv contrast given to the patient?,yes
synpic28664,was iv contrast given to the patient?,yes
synpic43617,is this a ct scan?,yes
synpic19978,was the ct scan taken with contrast?,yes
synpic30387,is this a ct scan?,yes
synpic50837,is this a ct scan?,yes
synpic33843,was iv contrast given to the patient?,yes
synpic38319,was the ct scan taken with contrast?,no
synpic27745,was iv contrast given to the patient?,yes
synpic10769,is this an mri image?,yes
synpic34972,is 	this a t1 weighted image?,yes
synpic29691,was gi contrast given to the patient?,no
synpic58841,is this a ct scan?,yes
synpic40816,is this a noncontrast mri?,no
synpic43797,was iv contrast given to the patient?,yes
synpic57639,is this a t2 weighted image?,no
synpic53973,was the mri taken with contrast?,yes
synpic23091,is this a t2 weighted image?,no
synpic30700,was the ct scan taken with contrast?,yes
synpic37748,is this a ct scan?,yes
synpic41916,is this an mri image?,yes
synpic45921,is this an mri image?,no
synpic33504,is this an mri image?,no
synpic55723,was the mri taken with contrast?,no
synpic50742,is this a t2 weighted image?,no
synpic31251,was iv contrast given to the patient?,yes
synpic34859,is 	this a t1 weighted image?,yes
synpic28967,is this a noncontrast ct?,yes
synpic27259,is this an mri image?,no
synpic47203,is this a t2 weighted image?,no
synpic20793,is this a ct scan?,no
synpic28718,was iv contrast given to the patient?,yes
synpic14610,was the ct scan taken with contrast?,no
synpic48406,is this a noncontrast mri?,no
synpic31737,is this a ct scan?,yes
synpic49809,was the mri taken with contrast?,yes
synpic47620,is this a t2 weighted image?,no
synpic34806,was the mri taken with contrast?,no
synpic35603,was the mri taken with contrast?,no
synpic22237,is this a ct scan?,yes
synpic33910,is this an mri image?,yes
synpic33342,was iv contrast given to the patient?,yes
synpic55480,is this a noncontrast ct?,yes
synpic53585,is this an mri image?,yes
synpic41236,was the ct scan taken with contrast?,no
synpic26737,was iv contrast given to the patient?,yes
synpic18406,is this an mri image?,no
synpic36677,is this an mri image?,yes
synpic58906,is this a ct scan?,no
synpic26372,was the ct scan taken with contrast?,no
synpic28056,is this a ct scan?,yes
synpic33273,is this a ct scan?,yes
synpic28624,is this an mri image?,no
synpic59546,is this a noncontrast ct?,no
synpic57072,is this a t1 weighted image?,no
synpic34587,is 	this a t1 weighted image?,yes
synpic59198,is this an mri image?,no
synpic28793,was gi contrast given to the patient?,no
synpic51392,is this a t2 weighted image?,no
synpic32364,was gi contrast given to the patient?,no
synpic46232,is this a noncontrast ct?,yes
synpic30967,is this an mri image?,no
synpic40279,was the ct scan taken with contrast?,yes
synpic37969,is this a noncontrast mri?,yes
synpic43498,is 	this a t1 weighted image?,yes
synpic55701,is this a t2 weighted image?,no
synpic57293,is this a t2 weighted image?,no
synpic11415,is this a t2 weighted image?,no
synpic47630,is 	this a t1 weighted image?,yes
synpic28377,is this a noncontrast ct?,yes
synpic38757,is this a ct scan?,yes
synpic46524,was the ct scan taken with contrast?,no
synpic51612,is this a ct scan?,yes
synpic46480,is this a ct scan?,no
synpic40781,was gi contrast given to the patient?,no
synpic53447,is this a t1 weighted image?,no
synpic38248,is this a t2 weighted image?,no
synpic21483,is 	this a t1 weighted image?,yes
synpic16506,is 	this a t1 weighted image?,yes
synpic54982,is this a noncontrast mri?,yes
synpic28473,is this a noncontrast ct?,no
synpic42172,is this a ct scan?,yes
synpic32079,is this a t1 weighted image?,no
synpic51322,is this a noncontrast ct?,no
synpic42061,was the ct scan taken with contrast?,no
synpic57204,is this an mri image?,yes
synpic45606,was gi contrast given to the patient?,no
synpic51016,is this a noncontrast ct?,yes
synpic57419,is this a t2 weighted image?,no
synpic23599,is 	this a t1 weighted image?,yes
synpic55092,is this an mri image?,no
synpic48095,is this an mri image?,yes
synpic46858,was the mri taken with contrast?,yes
synpic36776,is this a t2 weighted image?,no
synpic37107,was the mri taken with contrast?,yes
synpic30922,is this a t1 weighted image?,no
synpic32265,is this a noncontrast ct?,yes
synpic27224,was gi contrast given to the patient?,no
synpic46832,is this a noncontrast ct?,yes
synpic31503,was the ct scan taken with contrast?,no
synpic56587,was the ct scan taken with contrast?,no
synpic50629,is this a noncontrast ct?,yes
synpic56157,was gi contrast given to the patient?,no
synpic57383,is this a ct scan?,no
synpic58867,is this an mri image?,no
synpic13277,is this a ct scan?,no
synpic17986,is this a ct scan?,yes
synpic19307,is this a t2 weighted image?,no
synpic22726,is this an mri image?,no
synpic43442,was the ct scan taken with contrast?,yes
synpic53333,is 	this a t1 weighted image?,yes
synpic47172,is this an mri image?,yes
synpic42307,is this a t1 weighted image?,no
synpic20062,was gi contrast given to the patient?,no
synpic44436,was the ct scan taken with contrast?,no
synpic28620,is this a noncontrast ct?,yes
synpic51913,is this a noncontrast mri?,yes
synpic42107,is 	this a t1 weighted image?,yes
synpic57885,was the ct scan taken with contrast?,no
synpic15437,is this a noncontrast ct?,no
synpic19790,is this a t2 weighted image?,no
synpic23222,is this a ct scan?,yes
synpic51468,is this a noncontrast mri?,yes
synpic20989,is this a noncontrast mri?,no
synpic19524,is this a t1 weighted image?,no
synpic28210,was the ct scan taken with contrast?,yes
synpic18218,is this a noncontrast mri?,yes
synpic35913,was iv contrast given to the patient?,yes
synpic53529,is this a t2 weighted image?,no
synpic36689,is this a noncontrast ct?,no
synpic51420,is this an mri image?,no
synpic56911,is this a t1 weighted image?,no
synpic14408,was gi contrast given to the patient?,no
synpic59696,is this a noncontrast mri?,yes
synpic28645,is this a ct scan?,yes
synpic47206,is this an mri image?,no
synpic31917,was the ct scan taken with contrast?,no
synpic53742,is this a t1 weighted image?,no
synpic25572,is 	this a t1 weighted image?,yes
synpic54372,was iv contrast given to the patient?,yes
synpic56359,is 	this a t1 weighted image?,yes
synpic36113,is this a t2 weighted image?,no
synpic45166,is this a t2 weighted image?,no
synpic57589,is this a t2 weighted image?,no
synpic13313,is this an mri image?,no
synpic33213,is this a t1 weighted image?,no
synpic31645,is this a t2 weighted image?,no
synpic28814,is this a ct scan?,yes
synpic33781,is this a noncontrast mri?,yes
synpic40285,is this a t1 weighted image?,no
synpic49961,is this a t2 weighted image?,no
synpic54698,was the ct scan taken with contrast?,no
synpic20554,is this an mri image?,no
synpic50648,was the ct scan taken with contrast?,no
synpic21598,is this a t1 weighted image?,no
synpic17817,was gi contrast given to the patient?,no
synpic41476,is this a ct scan?,yes
synpic56989,is 	this a t1 weighted image?,yes
synpic55023,is this a t1 weighted image?,no
synpic35805,is this a t1 weighted image?,no
synpic45987,was iv contrast given to the patient?,yes
synpic16080,is this a noncontrast ct?,no
synpic44983,was the ct scan taken with contrast?,no
synpic26478,is this a noncontrast ct?,no
synpic4182,was the ct scan taken with contrast?,no
synpic59043,was the ct scan taken with contrast?,no
synpic49078,was the mri taken with contrast?,yes
synpic40057,is this an mri image?,yes
synpic47726,is this a noncontrast ct?,no
synpic19574,was gi contrast given to the patient?,no
synpic13140,is this a noncontrast mri?,yes
synpic39974,is this a noncontrast ct?,yes
synpic52805,is 	this a t1 weighted image?,yes
synpic25388,is this a ct scan?,yes
synpic33221,is this an mri image?,no
synpic22672,was iv contrast given to the patient?,yes
synpic25217,is this a ct scan?,yes
synpic52564,is this a t2 weighted image?,no
synpic35309,is this a noncontrast ct?,yes
synpic47304,was the ct scan taken with contrast?,no
synpic37679,is this an mri image?,yes
synpic26555,was gi contrast given to the patient?,no
synpic54034,was the mri taken with contrast?,no
synpic25988,was the ct scan taken with contrast?,yes
synpic25564,is this a t2 weighted image?,no
synpic51472,was the ct scan taken with contrast?,no
synpic48096,was the mri taken with contrast?,yes
synpic20730,is this a noncontrast ct?,yes
synpic49094,was the ct scan taken with contrast?,no
synpic39026,is this a t2 weighted image?,no
synpic52991,was the ct scan taken with contrast?,yes
synpic49274,is this an mri image?,yes
synpic20471,is this a ct scan?,no
synpic56642,was the mri taken with contrast?,no
synpic19835,was iv contrast given to the patient?,yes
synpic53745,is this an mri image?,yes
synpic31577,is this a noncontrast ct?,yes
synpic19434,was the ct scan taken with contrast?,yes
synpic45998,was the ct scan taken with contrast?,yes
synpic33915,is this a t1 weighted image?,no
synpic36934,is this a t2 weighted image?,no
synpic48444,is this a t2 weighted image?,no
synpic37023,was iv contrast given to the patient?,yes
synpic25317,is this a t2 weighted image?,no
synpic54256,is this a ct scan?,no
synpic33891,is this a noncontrast ct?,no
synpic41104,is this a ct scan?,no
synpic32633,was the mri taken with contrast?,no
synpic43010,is this a ct scan?,yes
synpic57734,is this an mri image?,yes
synpic21870,is this an mri image?,no
synpic47686,was gi contrast given to the patient?,no
synpic41926,was the ct scan taken with contrast?,yes
synpic59883,is this an mri image?,no
synpic27982,is this a noncontrast ct?,yes
synpic29776,is 	this a t1 weighted image?,yes
synpic36924,is this a t1 weighted image?,no
synpic57460,is this a noncontrast ct?,no
synpic49495,is this an mri image?,yes
synpic48426,is this a t1 weighted image?,no
synpic57468,was gi contrast given to the patient?,no
synpic34849,is this a ct scan?,yes
synpic17574,is this an mri image?,no
synpic32875,is this a noncontrast ct?,no
synpic45717,is this a ct scan?,yes
synpic41377,is this a ct scan?,yes
synpic58797,is 	this a t1 weighted image?,yes
synpic31890,was iv contrast given to the patient?,yes
synpic18995,is this a t2 weighted image?,no
synpic59210,was the mri taken with contrast?,yes
synpic47225,was gi contrast given to the patient?,no
synpic41970,was the ct scan taken with contrast?,no
synpic34878,is this a noncontrast ct?,no
synpic33978,was gi contrast given to the patient?,no
synpic39757,is this an mri image?,no
synpic54809,is this a t2 weighted image?,no
synpic16731,is this a t2 weighted image?,no
synpic24341,is this a noncontrast ct?,yes
synpic29110,is this a ct scan?,yes
synpic48903,is this an mri image?,yes
synpic9327,was the ct scan taken with contrast?,no
synpic49090,is this a noncontrast ct?,yes
synpic25060,is this a t2 weighted image?,no
synpic30325,was iv contrast given to the patient?,yes
synpic15878,was the mri taken with contrast?,no
synpic23607,is this a noncontrast ct?,yes
synpic16425,was iv contrast given to the patient?,no
synpic27260,is this a noncontrast ct?,yes
synpic56893,is this a ct scan?,no
synpic54255,is this a t2 weighted image?,no
synpic32754,is this a noncontrast ct?,no
synpic41885,is this an mri image?,yes
synpic33284,is this an mri image?,no
synpic35740,is this a t2 weighted image?,no
synpic34900,is this a noncontrast ct?,yes
synpic21355,is this a t2 weighted image?,no
synpic57401,is this a noncontrast mri?,no
synpic25538,is this a ct scan?,yes
synpic29256,was gi contrast given to the patient?,no
synpic45662,was iv contrast given to the patient?,yes
synpic55239,is this a t2 weighted image?,no
synpic45661,was gi contrast given to the patient?,no
synpic54707,is this a t2 weighted image?,no
synpic38434,was the ct scan taken with contrast?,no
synpic32655,is this a ct scan?,yes
synpic20157,was iv contrast given to the patient?,yes
synpic31445,is this a ct scan?,yes
synpic45316,was the mri taken with contrast?,yes
synpic27967,is this a ct scan?,yes
synpic16607,is this a ct scan?,yes
synpic50626,is this a noncontrast ct?,yes
synpic27473,is this a t2 weighted image?,no
synpic45730,is this a ct scan?,yes
synpic35882,is this a t1 weighted image?,no
synpic60847,was the mri taken with contrast?,no
synpic38144,is this a ct scan?,yes
synpic24599,is this a t2 weighted image?,no
synpic43807,is this a ct scan?,yes
synpic12075,was gi contrast given to the patient?,no
synpic51621,is this a t2 weighted image?,no
synpic55149,is this a t2 weighted image?,no
synpic59868,is 	this a t1 weighted image?,yes
synpic45111,was gi contrast given to the patient?,no
synpic28965,is this a noncontrast ct?,yes
synpic46263,is this a noncontrast ct?,yes
synpic52280,was the ct scan taken with contrast?,no
synpic58781,is this a noncontrast ct?,yes
synpic46222,was iv contrast given to the patient?,yes
synpic25458,was iv contrast given to the patient?,yes
synpic40991,is this a noncontrast ct?,yes
synpic52528,is this a t2 weighted image?,no
synpic56673,is this a ct scan?,no
synpic50427,is 	this a t1 weighted image?,yes
synpic54466,is this a noncontrast ct?,yes
synpic53953,was the mri taken with contrast?,yes
synpic52688,is this an mri image?,yes
synpic29836,is this a noncontrast ct?,yes
synpic40877,is this a t2 weighted image?,no
synpic40318,was gi contrast given to the patient?,no
synpic22891,was the ct scan taken with contrast?,no
synpic37434,was gi contrast given to the patient?,no
synpic57402,is this an mri image?,yes
synpic53956,is 	this a t1 weighted image?,yes
synpic41182,is this a t2 weighted image?,no
synpic36124,is this a t1 weighted image?,no
synpic45152,is this a t2 weighted image?,no
synpic46519,is this a noncontrast mri?,no
synpic21325,was iv contrast given to the patient?,yes
synpic19599,is 	this a t1 weighted image?,yes
synpic47969,was iv contrast given to the patient?,yes
synpic39165,is this a t1 weighted image?,no
synpic46969,is this a noncontrast ct?,yes
synpic58527,is this a noncontrast mri?,no
synpic43775,is this a ct scan?,yes
synpic19204,is this a noncontrast mri?,yes
synpic21416,was gi contrast given to the patient?,no
synpic25177,is this a ct scan?,yes
synpic48418,is this a ct scan?,no
synpic60186,was the ct scan taken with contrast?,yes
synpic45303,is this a t1 weighted image?,no
synpic19770,is 	this a t1 weighted image?,yes
synpic33826,is this a ct scan?,no
synpic34038,is this a t2 weighted image?,no
synpic24935,is this an mri image?,no
synpic26463,is this a t1 weighted image?,no
synpic26641,is this a ct scan?,yes
synpic60520,was iv contrast given to the patient?,yes
synpic12943,is this a t2 weighted image?,no
synpic28521,is this an mri image?,no
synpic40489,is this an mri image?,yes
synpic34124,is this a ct scan?,yes
synpic41661,is this a t2 weighted image?,no
synpic56649,is 	this a t1 weighted image?,yes
synpic45955,is 	this a t1 weighted image?,yes
synpic37027,was gi contrast given to the patient?,no
synpic41703,is this a ct scan?,no
synpic24745,was the ct scan taken with contrast?,yes
synpic21884,is this a t2 weighted image?,no
synpic45532,was iv contrast given to the patient?,yes
synpic48074,was the ct scan taken with contrast?,yes
synpic29199,was the ct scan taken with contrast?,no
synpic33652,is this a noncontrast mri?,yes
synpic39705,was the mri taken with contrast?,yes
synpic23644,is this a t2 weighted image?,no
synpic46314,is this an mri image?,yes
synpic59723,is this an mri image?,yes
synpic30978,is this a t1 weighted image?,no
synpic27148,is this an mri image?,yes
synpic50101,was gi contrast given to the patient?,no
synpic55773,is 	this a t1 weighted image?,yes
synpic46594,is this a ct scan?,yes
synpic37898,is this a ct scan?,yes
synpic40555,was the ct scan taken with contrast?,yes
synpic51094,was the mri taken with contrast?,no
synpic17392,is this a noncontrast ct?,no
synpic39634,is this a t1 weighted image?,no
synpic24308,was iv contrast given to the patient?,yes
synpic44128,was gi contrast given to the patient?,no
synpic48363,is this a ct scan?,yes
synpic53519,was the mri taken with contrast?,no
synpic20391,was gi contrast given to the patient?,no
synpic49265,is this a t2 weighted image?,no
synpic41048,is 	this a t1 weighted image?,yes
synpic25527,is this a noncontrast ct?,no
synpic56419,is this a noncontrast mri?,no
synpic18727,was iv contrast given to the patient?,yes
synpic24059,was the ct scan taken with contrast?,yes
synpic57263,was the ct scan taken with contrast?,no
synpic20181,is this a t1 weighted image?,no
synpic18049,was the ct scan taken with contrast?,yes
synpic26536,was iv contrast given to the patient?,yes
synpic22548,is this an mri image?,no
synpic16567,is this a ct scan?,yes
synpic50880,is this a noncontrast ct?,yes
synpic26196,was iv contrast given to the patient?,yes
synpic47035,is this a noncontrast ct?,yes
synpic16874,was iv contrast given to the patient?,yes
synpic56865,is this a t2 weighted image?,no
synpic41906,is this a noncontrast ct?,no
synpic61227,was gi contrast given to the patient?,no
synpic46415,was the mri taken with contrast?,yes
synpic18437,was iv contrast given to the patient?,no
synpic36419,was the ct scan taken with contrast?,yes
synpic52458,was the mri taken with contrast?,yes
synpic23359,was the ct scan taken with contrast?,no
synpic40671,was the ct scan taken with contrast?,no
synpic55233,was the mri taken with contrast?,no
synpic21438,is this a ct scan?,yes
synpic20347,is this a noncontrast ct?,yes
synpic49910,is this a t2 weighted image?,no
synpic52357,was the mri taken with contrast?,yes
synpic48976,is this a noncontrast mri?,no
synpic40855,is this a ct scan?,yes
synpic46502,is this a t1 weighted image?,no
synpic22194,is this an mri image?,no
synpic27246,was the ct scan taken with contrast?,no
synpic49995,is this a t1 weighted image?,no
synpic49546,is this a noncontrast ct?,no
synpic57356,is this a t2 weighted image?,no
synpic23672,is this a noncontrast mri?,yes
synpic49451,was the ct scan taken with contrast?,yes
synpic40952,is this a ct scan?,yes
synpic23776,was the ct scan taken with contrast?,no
synpic34858,is this an mri image?,yes
synpic49990,is this a noncontrast ct?,yes
synpic41415,is this a ct scan?,no
synpic34953,was the mri taken with contrast?,no
synpic47700,is this a noncontrast ct?,yes
synpic56128,was the ct scan taken with contrast?,no
synpic48365,is 	this a t1 weighted image?,yes
synpic1098,is this a t2 weighted image?,no
synpic27231,is this a ct scan?,yes
synpic39885,is this a noncontrast ct?,no
synpic56487,is this an mri image?,no
synpic31166,is this a noncontrast mri?,no
synpic28847,is this an mri image?,no
synpic34504,is this a t1 weighted image?,no
synpic37732,was the ct scan taken with contrast?,no
synpic19763,is this a ct scan?,yes
synpic59956,is this a t1 weighted image?,no
synpic20551,is this an mri image?,no
synpic17397,is this a noncontrast ct?,yes
synpic52438,is this an mri image?,yes
synpic39523,is this an mri image?,no
synpic48575,is this a t1 weighted image?,no
synpic42062,is this an mri image?,no
synpic18255,is this a t1 weighted image?,no
synpic60656,was the ct scan taken with contrast?,no
synpic34812,is this a ct scan?,no
synpic46865,is this a t2 weighted image?,no
synpic38315,is this a ct scan?,yes
synpic41697,is this a t2 weighted image?,no
synpic25168,was the mri taken with contrast?,no
synpic25104,was gi contrast given to the patient?,no
synpic60659,is this a ct scan?,yes
synpic55643,was the mri taken with contrast?,yes
synpic47171,is this an mri image?,yes
synpic25183,is 	this a t1 weighted image?,yes
synpic36070,is this a t1 weighted image?,no
synpic15124,is this a t2 weighted image?,no
synpic58470,is this an mri image?,yes
synpic13653,is this a noncontrast ct?,no
synpic55323,is this a ct scan?,no
synpic51299,is this a ct scan?,yes
synpic40375,is this a t2 weighted image?,no
synpic18158,was gi contrast given to the patient?,no
synpic60839,is this a t1 weighted image?,no
synpic40793,is 	this a t1 weighted image?,yes
synpic32183,is this a ct scan?,yes
synpic53167,is this an mri image?,yes
synpic51450,is this a ct scan?,yes
synpic33650,is this a ct scan?,yes
synpic36187,is this a ct scan?,yes
synpic60476,is this an mri image?,no
synpic18934,is this a noncontrast mri?,yes
synpic34134,is this a t1 weighted image?,no
synpic55840,is this a t1 weighted image?,no
synpic51458,is this a noncontrast ct?,no
synpic55844,is 	this a t1 weighted image?,yes
synpic41290,is this a t2 weighted image?,no
synpic28034,is this a ct scan?,no
synpic33770,was the ct scan taken with contrast?,no
synpic32288,was gi contrast given to the patient?,no
synpic23218,was the ct scan taken with contrast?,yes
synpic53878,is this a ct scan?,yes
synpic29226,is this a t1 weighted image?,no
synpic56554,is this a noncontrast mri?,yes
synpic28477,was gi contrast given to the patient?,no
synpic28611,is this a noncontrast ct?,no
synpic33385,is this an mri image?,yes
synpic57799,is this an mri image?,no
synpic20710,is this a noncontrast mri?,yes
synpic37624,is this a t2 weighted image?,no
synpic36467,is this a t1 weighted image?,no
synpic58647,is this an mri image?,no
synpic41469,is this an mri image?,yes
synpic58556,is this a noncontrast ct?,yes
synpic49375,is this an mri image?,no
synpic30275,is this a ct scan?,no
synpic60487,is this a t1 weighted image?,no
synpic54654,is this a ct scan?,no
synpic41223,is this a noncontrast mri?,yes
synpic53160,was iv contrast given to the patient?,yes
synpic59343,was gi contrast given to the patient?,no
synpic16430,is this a t1 weighted image?,no
synpic41133,was the ct scan taken with contrast?,yes
synpic55102,was the ct scan taken with contrast?,no
synpic55450,was the ct scan taken with contrast?,no
synpic43239,was the mri taken with contrast?,no
synpic51082,is this a ct scan?,yes
synpic13027,was gi contrast given to the patient?,no
synpic53811,is this a ct scan?,no
synpic54127,was iv contrast given to the patient?,yes
synpic51194,is this a ct scan?,no
synpic60794,was the mri taken with contrast?,yes
synpic57080,is this a ct scan?,no
synpic19980,was the ct scan taken with contrast?,yes
synpic56144,is this a noncontrast mri?,no
synpic53486,was the ct scan taken with contrast?,no
synpic48704,is this a noncontrast mri?,yes
synpic45147,is this a t1 weighted image?,no
synpic26483,was iv contrast given to the patient?,yes
synpic16199,is this a noncontrast ct?,no
synpic31411,was the ct scan taken with contrast?,no
synpic21376,is this a noncontrast mri?,yes
synpic34910,is this a t2 weighted image?,no
synpic58789,was the ct scan taken with contrast?,no
synpic41616,is this an mri image?,no
synpic17905,was the ct scan taken with contrast?,no
synpic51968,is this an mri image?,no
synpic51475,is this an mri image?,no
synpic28146,is this an mri image?,no
synpic41041,was the mri taken with contrast?,yes
synpic59602,was the mri taken with contrast?,yes
synpic58975,is this a ct scan?,no
synpic37858,was the mri taken with contrast?,no
synpic15614,is this an mri image?,no
synpic46899,is this an mri image?,yes
synpic28086,is this a noncontrast ct?,yes
synpic56958,is this a noncontrast ct?,yes
synpic59430,is this a t1 weighted image?,no
synpic28208,is this a ct scan?,yes
synpic34544,is this an mri image?,yes
synpic56796,is this an mri image?,no
synpic57440,is 	this a t1 weighted image?,yes
synpic55114,is this a t2 weighted image?,no
synpic55555,was the mri taken with contrast?,no
synpic18546,is this an mri image?,no
synpic51099,is this a ct scan?,yes
synpic46366,is this a noncontrast ct?,no
synpic43533,is this an mri image?,no
synpic55155,was the mri taken with contrast?,no
synpic48345,is this a noncontrast mri?,no
synpic59654,is this a ct scan?,yes
synpic28995,is this a noncontrast ct?,no
synpic23479,is this an mri image?,no
synpic47260,is this a ct scan?,no
synpic24344,is this a t2 weighted image?,no
synpic21902,was gi contrast given to the patient?,no
synpic26176,was iv contrast given to the patient?,yes
synpic100469,is this a ct scan?,yes
synpic53911,is this a ct scan?,no
synpic39607,is this a t2 weighted image?,no
synpic55315,is this a noncontrast mri?,yes
synpic17481,was the ct scan taken with contrast?,no
synpic50333,was iv contrast given to the patient?,yes
synpic57750,is this a ct scan?,no
synpic23548,is this a t1 weighted image?,no
synpic59661,is this a noncontrast ct?,yes
synpic44453,is this an mri image?,no
synpic53934,is this a t2 weighted image?,no
synpic55796,was the mri taken with contrast?,no
synpic46713,was the ct scan taken with contrast?,no
synpic42990,was the ct scan taken with contrast?,no
synpic54070,is this a ct scan?,yes
synpic17883,is this a noncontrast ct?,yes
synpic59899,is this an mri image?,yes
synpic27027,is this an mri image?,no
synpic41680,is this a ct scan?,no
synpic59350,is this a ct scan?,yes
synpic37612,is 	this a t1 weighted image?,yes
synpic33537,is this a ct scan?,yes
synpic48141,was the mri taken with contrast?,yes
synpic59549,is this a noncontrast ct?,yes
synpic37325,is 	this a t1 weighted image?,yes
synpic27085,was iv contrast given to the patient?,yes
synpic25103,is this a t2 weighted image?,no
synpic35849,is this an mri image?,yes
synpic53587,was the mri taken with contrast?,no
synpic56139,is this a ct scan?,no
synpic38373,is 	this a t1 weighted image?,yes
synpic55798,is this a ct scan?,no
synpic31993,is 	this a t1 weighted image?,yes
synpic57366,was the mri taken with contrast?,no
synpic42021,is this a noncontrast mri?,yes
synpic39243,is this a ct scan?,no
synpic29818,is this a t1 weighted image?,no
synpic42149,is this a ct scan?,yes
synpic42226,was the ct scan taken with contrast?,yes
synpic59710,was gi contrast given to the patient?,no
synpic19616,was the ct scan taken with contrast?,yes
synpic40577,was the ct scan taken with contrast?,no
synpic46859,is this a ct scan?,no
synpic41485,is this a t2 weighted image?,no
synpic22765,is this a noncontrast ct?,no
synpic38730,is this a noncontrast ct?,no
synpic57586,is this an mri image?,no
synpic37136,is this a t2 weighted image?,no
synpic21721,is this an mri image?,yes
synpic30977,was gi contrast given to the patient?,no
synpic39793,is this an mri image?,no
synpic49377,is this an mri image?,no
synpic55040,is this a ct scan?,no
synpic56651,is this a ct scan?,yes
synpic37275,was iv contrast given to the patient?,yes
synpic41412,was the mri taken with contrast?,yes
synpic39767,is this a noncontrast mri?,yes
synpic55053,is this a t2 weighted image?,no
synpic42581,was the ct scan taken with contrast?,no
synpic45995,was gi contrast given to the patient?,no
synpic24148,was iv contrast given to the patient?,yes
synpic57077,is this an mri image?,yes
synpic41337,is this a t1 weighted image?,no
synpic55646,is this a t1 weighted image?,no
synpic45913,is this a noncontrast ct?,yes
synpic34261,is this an mri image?,yes
synpic33840,is this a ct scan?,yes
synpic17091,is this an mri image?,no
synpic54051,was the mri taken with contrast?,yes
synpic45441,is this a ct scan?,yes
synpic21933,is this a ct scan?,no
synpic19890,is this an mri image?,no
synpic36125,is this a t2 weighted image?,no
synpic23349,was gi contrast given to the patient?,no
synpic31072,was the ct scan taken with contrast?,yes
synpic34002,was the ct scan taken with contrast?,yes
synpic34801,was the mri taken with contrast?,yes
synpic33929,is this a ct scan?,yes
synpic56444,is this a t2 weighted image?,no
synpic26007,is this a ct scan?,yes
synpic38326,is this a ct scan?,yes
synpic21333,is this an mri image?,yes
synpic36058,is this a noncontrast ct?,yes
synpic48887,is this a t2 weighted image?,no
