,image,Q,A
141,synpic32301,is this a t1 weighted image?,no
142,synpic15995,is this a noncontrast ct?,no
147,synpic19554,was iv contrast given to the patient?,yes
149,synpic56034,is this a noncontrast mri?,no
155,synpic40008,is this a noncontrast ct?,yes
157,synpic56844,is this a noncontrast mri?,no
161,synpic33179,was gi contrast given to the patient?,no
163,synpic25275,is this an mri image?,yes
164,synpic18627,was iv contrast given to the patient?,yes
165,synpic45446,is this a ct scan?,yes
167,synpic35745,was the mri taken with contrast?,yes
170,synpic50024,is this a noncontrast ct?,yes
171,synpic41562,is this a noncontrast ct?,yes
178,synpic61222,was iv contrast given to the patient?,yes
179,synpic16937,was the ct scan taken with contrast?,yes
184,synpic29624,is this a t2 weighted image?,no
190,synpic10588,is this a noncontrast ct?,yes
192,synpic33574,was gi contrast given to the patient?,no
193,synpic19753,is this a t1 weighted image?,no
194,synpic37692,was the mri taken with contrast?,yes
195,synpic34500,is this a ct scan?,yes
198,synpic13036,is this a ct scan?,yes
199,synpic18810,is this a noncontrast ct?,no
200,synpic47344,is this an mri image?,yes
203,synpic47722,is this a noncontrast ct?,no
205,synpic600,is 	this a t1 weighted image?,yes
207,synpic59403,is this an mri image?,yes
208,synpic29038,is this a t1 weighted image?,no
210,synpic29835,was iv contrast given to the patient?,yes
211,synpic28664,was iv contrast given to the patient?,yes
215,synpic43617,is this a ct scan?,yes
222,synpic19978,was the ct scan taken with contrast?,yes
223,synpic30387,is this a ct scan?,yes
224,synpic50837,is this a ct scan?,yes
227,synpic33843,was iv contrast given to the patient?,yes
229,synpic38319,was the ct scan taken with contrast?,no
230,synpic27745,was iv contrast given to the patient?,yes
240,synpic10769,is this an mri image?,yes
241,synpic34972,is 	this a t1 weighted image?,yes
243,synpic29691,was gi contrast given to the patient?,no
245,synpic58841,is this a ct scan?,yes
246,synpic40816,is this a noncontrast mri?,no
249,synpic43797,was iv contrast given to the patient?,yes
252,synpic57639,is this a t2 weighted image?,no
253,synpic53973,was the mri taken with contrast?,yes
254,synpic23091,is this a t2 weighted image?,no
259,synpic30700,was the ct scan taken with contrast?,yes
260,synpic37748,is this a ct scan?,yes
263,synpic41916,is this an mri image?,yes
265,synpic45921,is this an mri image?,no
270,synpic33504,is this an mri image?,no
272,synpic55723,was the mri taken with contrast?,no
273,synpic50742,is this a t2 weighted image?,no
274,synpic31251,was iv contrast given to the patient?,yes
279,synpic34859,is 	this a t1 weighted image?,yes
283,synpic28967,is this a noncontrast ct?,yes
285,synpic27259,is this an mri image?,no
286,synpic47203,is this a t2 weighted image?,no
287,synpic20793,is this a ct scan?,no
288,synpic28718,was iv contrast given to the patient?,yes
292,synpic14610,was the ct scan taken with contrast?,no
293,synpic48406,is this a noncontrast mri?,no
295,synpic31737,is this a ct scan?,yes
296,synpic49809,was the mri taken with contrast?,yes
297,synpic47620,is this a t2 weighted image?,no
298,synpic34806,was the mri taken with contrast?,no
299,synpic35603,was the mri taken with contrast?,no
300,synpic22237,is this a ct scan?,yes
306,synpic33910,is this an mri image?,yes
307,synpic33342,was iv contrast given to the patient?,yes
308,synpic55480,is this a noncontrast ct?,yes
314,synpic53585,is this an mri image?,yes
321,synpic41236,was the ct scan taken with contrast?,no
325,synpic26737,was iv contrast given to the patient?,yes
326,synpic18406,is this an mri image?,no
327,synpic36677,is this an mri image?,yes
328,synpic58906,is this a ct scan?,no
335,synpic26372,was the ct scan taken with contrast?,no
339,synpic28056,is this a ct scan?,yes
349,synpic33273,is this a ct scan?,yes
350,synpic28624,is this an mri image?,no
351,synpic59546,is this a noncontrast ct?,no
355,synpic57072,is this a t1 weighted image?,no
356,synpic34587,is 	this a t1 weighted image?,yes
357,synpic59198,is this an mri image?,no
361,synpic28793,was gi contrast given to the patient?,no
369,synpic51392,is this a t2 weighted image?,no
370,synpic32364,was gi contrast given to the patient?,no
371,synpic46232,is this a noncontrast ct?,yes
374,synpic30967,is this an mri image?,no
376,synpic40279,was the ct scan taken with contrast?,yes
381,synpic37969,is this a noncontrast mri?,yes
386,synpic43498,is 	this a t1 weighted image?,yes
388,synpic55701,is this a t2 weighted image?,no
389,synpic57293,is this a t2 weighted image?,no
390,synpic11415,is this a t2 weighted image?,no
393,synpic47630,is 	this a t1 weighted image?,yes
399,synpic28377,is this a noncontrast ct?,yes
401,synpic38757,is this a ct scan?,yes
403,synpic46524,was the ct scan taken with contrast?,no
404,synpic51612,is this a ct scan?,yes
407,synpic46480,is this a ct scan?,no
408,synpic40781,was gi contrast given to the patient?,no
410,synpic53447,is this a t1 weighted image?,no
411,synpic38248,is this a t2 weighted image?,no
412,synpic21483,is 	this a t1 weighted image?,yes
413,synpic16506,is 	this a t1 weighted image?,yes
416,synpic54982,is this a noncontrast mri?,yes
417,synpic28473,is this a noncontrast ct?,no
419,synpic42172,is this a ct scan?,yes
421,synpic32079,is this a t1 weighted image?,no
423,synpic51322,is this a noncontrast ct?,no
424,synpic42061,was the ct scan taken with contrast?,no
425,synpic57204,is this an mri image?,yes
432,synpic45606,was gi contrast given to the patient?,no
434,synpic51016,is this a noncontrast ct?,yes
437,synpic57419,is this a t2 weighted image?,no
442,synpic23599,is 	this a t1 weighted image?,yes
443,synpic55092,is this an mri image?,no
445,synpic48095,is this an mri image?,yes
446,synpic46858,was the mri taken with contrast?,yes
449,synpic36776,is this a t2 weighted image?,no
454,synpic37107,was the mri taken with contrast?,yes
455,synpic30922,is this a t1 weighted image?,no
459,synpic32265,is this a noncontrast ct?,yes
462,synpic27224,was gi contrast given to the patient?,no
464,synpic46832,is this a noncontrast ct?,yes
466,synpic31503,was the ct scan taken with contrast?,no
467,synpic56587,was the ct scan taken with contrast?,no
475,synpic50629,is this a noncontrast ct?,yes
479,synpic56157,was gi contrast given to the patient?,no
481,synpic57383,is this a ct scan?,no
482,synpic58867,is this an mri image?,no
483,synpic13277,is this a ct scan?,no
485,synpic17986,is this a ct scan?,yes
486,synpic19307,is this a t2 weighted image?,no
487,synpic22726,is this an mri image?,no
492,synpic43442,was the ct scan taken with contrast?,yes
495,synpic53333,is 	this a t1 weighted image?,yes
496,synpic47172,is this an mri image?,yes
499,synpic42307,is this a t1 weighted image?,no
502,synpic20062,was gi contrast given to the patient?,no
503,synpic44436,was the ct scan taken with contrast?,no
505,synpic28620,is this a noncontrast ct?,yes
506,synpic51913,is this a noncontrast mri?,yes
515,synpic42107,is 	this a t1 weighted image?,yes
518,synpic57885,was the ct scan taken with contrast?,no
522,synpic15437,is this a noncontrast ct?,no
526,synpic19790,is this a t2 weighted image?,no
528,synpic23222,is this a ct scan?,yes
531,synpic51468,is this a noncontrast mri?,yes
536,synpic20989,is this a noncontrast mri?,no
540,synpic19524,is this a t1 weighted image?,no
541,synpic28210,was the ct scan taken with contrast?,yes
545,synpic18218,is this a noncontrast mri?,yes
551,synpic35913,was iv contrast given to the patient?,yes
552,synpic53529,is this a t2 weighted image?,no
553,synpic36689,is this a noncontrast ct?,no
554,synpic51420,is this an mri image?,no
555,synpic56911,is this a t1 weighted image?,no
556,synpic14408,was gi contrast given to the patient?,no
568,synpic59696,is this a noncontrast mri?,yes
569,synpic28645,is this a ct scan?,yes
571,synpic47206,is this an mri image?,no
572,synpic31917,was the ct scan taken with contrast?,no
574,synpic53742,is this a t1 weighted image?,no
575,synpic25572,is 	this a t1 weighted image?,yes
580,synpic54372,was iv contrast given to the patient?,yes
581,synpic56359,is 	this a t1 weighted image?,yes
583,synpic36113,is this a t2 weighted image?,no
588,synpic45166,is this a t2 weighted image?,no
591,synpic57589,is this a t2 weighted image?,no
594,synpic13313,is this an mri image?,no
596,synpic33213,is this a t1 weighted image?,no
602,synpic31645,is this a t2 weighted image?,no
605,synpic28814,is this a ct scan?,yes
608,synpic33781,is this a noncontrast mri?,yes
610,synpic40285,is this a t1 weighted image?,no
617,synpic49961,is this a t2 weighted image?,no
619,synpic54698,was the ct scan taken with contrast?,no
620,synpic20554,is this an mri image?,no
622,synpic50648,was the ct scan taken with contrast?,no
626,synpic21598,is this a t1 weighted image?,no
631,synpic17817,was gi contrast given to the patient?,no
632,synpic41476,is this a ct scan?,yes
636,synpic56989,is 	this a t1 weighted image?,yes
637,synpic55023,is this a t1 weighted image?,no
638,synpic35805,is this a t1 weighted image?,no
639,synpic45987,was iv contrast given to the patient?,yes
640,synpic16080,is this a noncontrast ct?,no
643,synpic44983,was the ct scan taken with contrast?,no
650,synpic26478,is this a noncontrast ct?,no
651,synpic4182,was the ct scan taken with contrast?,no
653,synpic59043,was the ct scan taken with contrast?,no
654,synpic49078,was the mri taken with contrast?,yes
657,synpic40057,is this an mri image?,yes
658,synpic47726,is this a noncontrast ct?,no
661,synpic19574,was gi contrast given to the patient?,no
669,synpic13140,is this a noncontrast mri?,yes
670,synpic39974,is this a noncontrast ct?,yes
673,synpic52805,is 	this a t1 weighted image?,yes
674,synpic25388,is this a ct scan?,yes
675,synpic33221,is this an mri image?,no
677,synpic22672,was iv contrast given to the patient?,yes
678,synpic25217,is this a ct scan?,yes
680,synpic52564,is this a t2 weighted image?,no
683,synpic35309,is this a noncontrast ct?,yes
687,synpic47304,was the ct scan taken with contrast?,no
688,synpic37679,is this an mri image?,yes
689,synpic26555,was gi contrast given to the patient?,no
690,synpic54034,was the mri taken with contrast?,no
695,synpic25988,was the ct scan taken with contrast?,yes
696,synpic25564,is this a t2 weighted image?,no
702,synpic51472,was the ct scan taken with contrast?,no
704,synpic48096,was the mri taken with contrast?,yes
707,synpic20730,is this a noncontrast ct?,yes
711,synpic49094,was the ct scan taken with contrast?,no
715,synpic39026,is this a t2 weighted image?,no
716,synpic52991,was the ct scan taken with contrast?,yes
719,synpic49274,is this an mri image?,yes
723,synpic20471,is this a ct scan?,no
724,synpic56642,was the mri taken with contrast?,no
728,synpic19835,was iv contrast given to the patient?,yes
730,synpic53745,is this an mri image?,yes
735,synpic31577,is this a noncontrast ct?,yes
738,synpic19434,was the ct scan taken with contrast?,yes
741,synpic45998,was the ct scan taken with contrast?,yes
742,synpic33915,is this a t1 weighted image?,no
743,synpic36934,is this a t2 weighted image?,no
747,synpic48444,is this a t2 weighted image?,no
751,synpic37023,was iv contrast given to the patient?,yes
755,synpic25317,is this a t2 weighted image?,no
758,synpic54256,is this a ct scan?,no
762,synpic33891,is this a noncontrast ct?,no
763,synpic41104,is this a ct scan?,no
765,synpic32633,was the mri taken with contrast?,no
766,synpic43010,is this a ct scan?,yes
767,synpic57734,is this an mri image?,yes
772,synpic21870,is this an mri image?,no
774,synpic47686,was gi contrast given to the patient?,no
775,synpic41926,was the ct scan taken with contrast?,yes
777,synpic59883,is this an mri image?,no
778,synpic27982,is this a noncontrast ct?,yes
780,synpic29776,is 	this a t1 weighted image?,yes
782,synpic36924,is this a t1 weighted image?,no
785,synpic57460,is this a noncontrast ct?,no
786,synpic49495,is this an mri image?,yes
787,synpic48426,is this a t1 weighted image?,no
788,synpic57468,was gi contrast given to the patient?,no
790,synpic34849,is this a ct scan?,yes
792,synpic17574,is this an mri image?,no
799,synpic32875,is this a noncontrast ct?,no
800,synpic45717,is this a ct scan?,yes
802,synpic41377,is this a ct scan?,yes
805,synpic58797,is 	this a t1 weighted image?,yes
807,synpic31890,was iv contrast given to the patient?,yes
808,synpic18995,is this a t2 weighted image?,no
809,synpic59210,was the mri taken with contrast?,yes
811,synpic47225,was gi contrast given to the patient?,no
812,synpic41970,was the ct scan taken with contrast?,no
813,synpic34878,is this a noncontrast ct?,no
815,synpic33978,was gi contrast given to the patient?,no
816,synpic39757,is this an mri image?,no
817,synpic54809,is this a t2 weighted image?,no
821,synpic16731,is this a t2 weighted image?,no
823,synpic24341,is this a noncontrast ct?,yes
826,synpic29110,is this a ct scan?,yes
828,synpic48903,is this an mri image?,yes
831,synpic9327,was the ct scan taken with contrast?,no
833,synpic49090,is this a noncontrast ct?,yes
835,synpic25060,is this a t2 weighted image?,no
836,synpic30325,was iv contrast given to the patient?,yes
838,synpic15878,was the mri taken with contrast?,no
840,synpic23607,is this a noncontrast ct?,yes
847,synpic16425,was iv contrast given to the patient?,no
849,synpic27260,is this a noncontrast ct?,yes
851,synpic56893,is this a ct scan?,no
857,synpic54255,is this a t2 weighted image?,no
858,synpic32754,is this a noncontrast ct?,no
859,synpic41885,is this an mri image?,yes
871,synpic33284,is this an mri image?,no
872,synpic35740,is this a t2 weighted image?,no
878,synpic34900,is this a noncontrast ct?,yes
881,synpic21355,is this a t2 weighted image?,no
882,synpic57401,is this a noncontrast mri?,no
883,synpic25538,is this a ct scan?,yes
885,synpic29256,was gi contrast given to the patient?,no
886,synpic45662,was iv contrast given to the patient?,yes
887,synpic55239,is this a t2 weighted image?,no
888,synpic45661,was gi contrast given to the patient?,no
891,synpic54707,is this a t2 weighted image?,no
892,synpic38434,was the ct scan taken with contrast?,no
898,synpic32655,is this a ct scan?,yes
899,synpic20157,was iv contrast given to the patient?,yes
907,synpic31445,is this a ct scan?,yes
908,synpic45316,was the mri taken with contrast?,yes
910,synpic27967,is this a ct scan?,yes
911,synpic16607,is this a ct scan?,yes
913,synpic50626,is this a noncontrast ct?,yes
915,synpic27473,is this a t2 weighted image?,no
919,synpic45730,is this a ct scan?,yes
923,synpic35882,is this a t1 weighted image?,no
925,synpic60847,was the mri taken with contrast?,no
926,synpic38144,is this a ct scan?,yes
927,synpic24599,is this a t2 weighted image?,no
928,synpic43807,is this a ct scan?,yes
929,synpic12075,was gi contrast given to the patient?,no
930,synpic51621,is this a t2 weighted image?,no
931,synpic55149,is this a t2 weighted image?,no
932,synpic59868,is 	this a t1 weighted image?,yes
938,synpic45111,was gi contrast given to the patient?,no
939,synpic28965,is this a noncontrast ct?,yes
941,synpic46263,is this a noncontrast ct?,yes
943,synpic52280,was the ct scan taken with contrast?,no
946,synpic58781,is this a noncontrast ct?,yes
949,synpic46222,was iv contrast given to the patient?,yes
950,synpic25458,was iv contrast given to the patient?,yes
951,synpic40991,is this a noncontrast ct?,yes
959,synpic52528,is this a t2 weighted image?,no
960,synpic56673,is this a ct scan?,no
967,synpic50427,is 	this a t1 weighted image?,yes
969,synpic54466,is this a noncontrast ct?,yes
970,synpic53953,was the mri taken with contrast?,yes
972,synpic52688,is this an mri image?,yes
976,synpic29836,is this a noncontrast ct?,yes
977,synpic40877,is this a t2 weighted image?,no
978,synpic40318,was gi contrast given to the patient?,no
979,synpic22891,was the ct scan taken with contrast?,no
980,synpic37434,was gi contrast given to the patient?,no
984,synpic57402,is this an mri image?,yes
986,synpic53956,is 	this a t1 weighted image?,yes
987,synpic41182,is this a t2 weighted image?,no
994,synpic36124,is this a t1 weighted image?,no
1001,synpic45152,is this a t2 weighted image?,no
1004,synpic46519,is this a noncontrast mri?,no
1005,synpic21325,was iv contrast given to the patient?,yes
1015,synpic19599,is 	this a t1 weighted image?,yes
1016,synpic47969,was iv contrast given to the patient?,yes
1019,synpic39165,is this a t1 weighted image?,no
1020,synpic46969,is this a noncontrast ct?,yes
1021,synpic58527,is this a noncontrast mri?,no
1028,synpic43775,is this a ct scan?,yes
1029,synpic19204,is this a noncontrast mri?,yes
1033,synpic21416,was gi contrast given to the patient?,no
1034,synpic25177,is this a ct scan?,yes
1036,synpic48418,is this a ct scan?,no
1037,synpic60186,was the ct scan taken with contrast?,yes
1039,synpic45303,is this a t1 weighted image?,no
1040,synpic19770,is 	this a t1 weighted image?,yes
1044,synpic33826,is this a ct scan?,no
1047,synpic34038,is this a t2 weighted image?,no
1053,synpic24935,is this an mri image?,no
1055,synpic26463,is this a t1 weighted image?,no
1056,synpic26641,is this a ct scan?,yes
1057,synpic60520,was iv contrast given to the patient?,yes
1059,synpic12943,is this a t2 weighted image?,no
1060,synpic28521,is this an mri image?,no
1061,synpic40489,is this an mri image?,yes
1062,synpic34124,is this a ct scan?,yes
1064,synpic41661,is this a t2 weighted image?,no
1065,synpic56649,is 	this a t1 weighted image?,yes
1068,synpic45955,is 	this a t1 weighted image?,yes
1074,synpic37027,was gi contrast given to the patient?,no
1075,synpic41703,is this a ct scan?,no
1078,synpic24745,was the ct scan taken with contrast?,yes
1081,synpic21884,is this a t2 weighted image?,no
1082,synpic45532,was iv contrast given to the patient?,yes
1083,synpic48074,was the ct scan taken with contrast?,yes
1088,synpic29199,was the ct scan taken with contrast?,no
1090,synpic33652,is this a noncontrast mri?,yes
1093,synpic39705,was the mri taken with contrast?,yes
1097,synpic23644,is this a t2 weighted image?,no
1099,synpic46314,is this an mri image?,yes
1101,synpic59723,is this an mri image?,yes
1105,synpic30978,is this a t1 weighted image?,no
1106,synpic27148,is this an mri image?,yes
1108,synpic50101,was gi contrast given to the patient?,no
1114,synpic55773,is 	this a t1 weighted image?,yes
1119,synpic46594,is this a ct scan?,yes
1120,synpic37898,is this a ct scan?,yes
1126,synpic40555,was the ct scan taken with contrast?,yes
1127,synpic51094,was the mri taken with contrast?,no
1129,synpic17392,is this a noncontrast ct?,no
1131,synpic39634,is this a t1 weighted image?,no
1134,synpic24308,was iv contrast given to the patient?,yes
1135,synpic44128,was gi contrast given to the patient?,no
1136,synpic48363,is this a ct scan?,yes
1137,synpic53519,was the mri taken with contrast?,no
1139,synpic20391,was gi contrast given to the patient?,no
1140,synpic49265,is this a t2 weighted image?,no
1141,synpic41048,is 	this a t1 weighted image?,yes
1145,synpic25527,is this a noncontrast ct?,no
1148,synpic56419,is this a noncontrast mri?,no
1152,synpic18727,was iv contrast given to the patient?,yes
1154,synpic24059,was the ct scan taken with contrast?,yes
1155,synpic57263,was the ct scan taken with contrast?,no
1157,synpic20181,is this a t1 weighted image?,no
1159,synpic18049,was the ct scan taken with contrast?,yes
1160,synpic26536,was iv contrast given to the patient?,yes
1165,synpic22548,is this an mri image?,no
1166,synpic16567,is this a ct scan?,yes
1173,synpic50880,is this a noncontrast ct?,yes
1174,synpic26196,was iv contrast given to the patient?,yes
1177,synpic47035,is this a noncontrast ct?,yes
1179,synpic16874,was iv contrast given to the patient?,yes
1180,synpic56865,is this a t2 weighted image?,no
1181,synpic41906,is this a noncontrast ct?,no
1183,synpic61227,was gi contrast given to the patient?,no
1184,synpic46415,was the mri taken with contrast?,yes
1186,synpic18437,was iv contrast given to the patient?,no
1189,synpic36419,was the ct scan taken with contrast?,yes
1191,synpic52458,was the mri taken with contrast?,yes
1192,synpic23359,was the ct scan taken with contrast?,no
1193,synpic40671,was the ct scan taken with contrast?,no
1195,synpic55233,was the mri taken with contrast?,no
1196,synpic21438,is this a ct scan?,yes
1206,synpic20347,is this a noncontrast ct?,yes
1209,synpic49910,is this a t2 weighted image?,no
1210,synpic52357,was the mri taken with contrast?,yes
1212,synpic48976,is this a noncontrast mri?,no
1213,synpic40855,is this a ct scan?,yes
1214,synpic46502,is this a t1 weighted image?,no
1219,synpic22194,is this an mri image?,no
1222,synpic27246,was the ct scan taken with contrast?,no
1224,synpic49995,is this a t1 weighted image?,no
1226,synpic49546,is this a noncontrast ct?,no
1236,synpic57356,is this a t2 weighted image?,no
1237,synpic23672,is this a noncontrast mri?,yes
1241,synpic49451,was the ct scan taken with contrast?,yes
1243,synpic40952,is this a ct scan?,yes
1246,synpic23776,was the ct scan taken with contrast?,no
1250,synpic34858,is this an mri image?,yes
1251,synpic49990,is this a noncontrast ct?,yes
1252,synpic41415,is this a ct scan?,no
1256,synpic34953,was the mri taken with contrast?,no
1257,synpic47700,is this a noncontrast ct?,yes
1258,synpic56128,was the ct scan taken with contrast?,no
1259,synpic48365,is 	this a t1 weighted image?,yes
1263,synpic1098,is this a t2 weighted image?,no
1266,synpic27231,is this a ct scan?,yes
1267,synpic39885,is this a noncontrast ct?,no
1269,synpic56487,is this an mri image?,no
1272,synpic31166,is this a noncontrast mri?,no
1274,synpic28847,is this an mri image?,no
1275,synpic34504,is this a t1 weighted image?,no
1276,synpic37732,was the ct scan taken with contrast?,no
1279,synpic19763,is this a ct scan?,yes
1283,synpic59956,is this a t1 weighted image?,no
1284,synpic20551,is this an mri image?,no
1295,synpic17397,is this a noncontrast ct?,yes
1300,synpic52438,is this an mri image?,yes
1302,synpic39523,is this an mri image?,no
1305,synpic48575,is this a t1 weighted image?,no
1306,synpic42062,is this an mri image?,no
1307,synpic18255,is this a t1 weighted image?,no
1308,synpic60656,was the ct scan taken with contrast?,no
1310,synpic34812,is this a ct scan?,no
1313,synpic46865,is this a t2 weighted image?,no
1314,synpic38315,is this a ct scan?,yes
1315,synpic41697,is this a t2 weighted image?,no
1318,synpic25168,was the mri taken with contrast?,no
1319,synpic25104,was gi contrast given to the patient?,no
1322,synpic60659,is this a ct scan?,yes
1327,synpic55643,was the mri taken with contrast?,yes
1329,synpic47171,is this an mri image?,yes
1330,synpic25183,is 	this a t1 weighted image?,yes
1337,synpic36070,is this a t1 weighted image?,no
1340,synpic15124,is this a t2 weighted image?,no
1347,synpic58470,is this an mri image?,yes
1348,synpic13653,is this a noncontrast ct?,no
1350,synpic55323,is this a ct scan?,no
1352,synpic51299,is this a ct scan?,yes
1356,synpic40375,is this a t2 weighted image?,no
1357,synpic18158,was gi contrast given to the patient?,no
1361,synpic60839,is this a t1 weighted image?,no
1362,synpic40793,is 	this a t1 weighted image?,yes
1365,synpic32183,is this a ct scan?,yes
1366,synpic53167,is this an mri image?,yes
1367,synpic51450,is this a ct scan?,yes
1370,synpic33650,is this a ct scan?,yes
1372,synpic36187,is this a ct scan?,yes
1373,synpic60476,is this an mri image?,no
1382,synpic18934,is this a noncontrast mri?,yes
1383,synpic34134,is this a t1 weighted image?,no
1386,synpic55840,is this a t1 weighted image?,no
1387,synpic51458,is this a noncontrast ct?,no
1389,synpic55844,is 	this a t1 weighted image?,yes
1390,synpic41290,is this a t2 weighted image?,no
1391,synpic28034,is this a ct scan?,no
1393,synpic33770,was the ct scan taken with contrast?,no
1394,synpic32288,was gi contrast given to the patient?,no
1395,synpic23218,was the ct scan taken with contrast?,yes
1397,synpic53878,is this a ct scan?,yes
1398,synpic29226,is this a t1 weighted image?,no
1399,synpic56554,is this a noncontrast mri?,yes
1400,synpic28477,was gi contrast given to the patient?,no
1402,synpic28611,is this a noncontrast ct?,no
1405,synpic33385,is this an mri image?,yes
1415,synpic57799,is this an mri image?,no
1424,synpic20710,is this a noncontrast mri?,yes
1425,synpic37624,is this a t2 weighted image?,no
1429,synpic36467,is this a t1 weighted image?,no
1436,synpic58647,is this an mri image?,no
1438,synpic41469,is this an mri image?,yes
1440,synpic58556,is this a noncontrast ct?,yes
1441,synpic49375,is this an mri image?,no
1442,synpic30275,is this a ct scan?,no
1447,synpic60487,is this a t1 weighted image?,no
1449,synpic54654,is this a ct scan?,no
1450,synpic41223,is this a noncontrast mri?,yes
1451,synpic53160,was iv contrast given to the patient?,yes
1453,synpic59343,was gi contrast given to the patient?,no
1458,synpic16430,is this a t1 weighted image?,no
1461,synpic41133,was the ct scan taken with contrast?,yes
1473,synpic55102,was the ct scan taken with contrast?,no
1477,synpic55450,was the ct scan taken with contrast?,no
1479,synpic43239,was the mri taken with contrast?,no
1481,synpic51082,is this a ct scan?,yes
1482,synpic13027,was gi contrast given to the patient?,no
1483,synpic53811,is this a ct scan?,no
1491,synpic54127,was iv contrast given to the patient?,yes
1492,synpic51194,is this a ct scan?,no
1496,synpic60794,was the mri taken with contrast?,yes
1497,synpic57080,is this a ct scan?,no
1498,synpic19980,was the ct scan taken with contrast?,yes
1503,synpic56144,is this a noncontrast mri?,no
1504,synpic53486,was the ct scan taken with contrast?,no
1506,synpic48704,is this a noncontrast mri?,yes
1510,synpic45147,is this a t1 weighted image?,no
1514,synpic26483,was iv contrast given to the patient?,yes
1517,synpic16199,is this a noncontrast ct?,no
1518,synpic31411,was the ct scan taken with contrast?,no
1524,synpic21376,is this a noncontrast mri?,yes
1525,synpic34910,is this a t2 weighted image?,no
1526,synpic58789,was the ct scan taken with contrast?,no
1536,synpic41616,is this an mri image?,no
1538,synpic17905,was the ct scan taken with contrast?,no
1541,synpic51968,is this an mri image?,no
1542,synpic51475,is this an mri image?,no
1545,synpic28146,is this an mri image?,no
1548,synpic41041,was the mri taken with contrast?,yes
1549,synpic59602,was the mri taken with contrast?,yes
1553,synpic58975,is this a ct scan?,no
1554,synpic37858,was the mri taken with contrast?,no
1558,synpic15614,is this an mri image?,no
1560,synpic46899,is this an mri image?,yes
1564,synpic28086,is this a noncontrast ct?,yes
1566,synpic56958,is this a noncontrast ct?,yes
1567,synpic59430,is this a t1 weighted image?,no
1568,synpic28208,is this a ct scan?,yes
1570,synpic34544,is this an mri image?,yes
1573,synpic56796,is this an mri image?,no
1575,synpic57440,is 	this a t1 weighted image?,yes
1576,synpic55114,is this a t2 weighted image?,no
1578,synpic55555,was the mri taken with contrast?,no
1581,synpic18546,is this an mri image?,no
1582,synpic51099,is this a ct scan?,yes
1587,synpic46366,is this a noncontrast ct?,no
1588,synpic43533,is this an mri image?,no
1589,synpic55155,was the mri taken with contrast?,no
1591,synpic48345,is this a noncontrast mri?,no
1592,synpic59654,is this a ct scan?,yes
1593,synpic28995,is this a noncontrast ct?,no
1594,synpic23479,is this an mri image?,no
1595,synpic47260,is this a ct scan?,no
1599,synpic24344,is this a t2 weighted image?,no
1602,synpic21902,was gi contrast given to the patient?,no
1605,synpic26176,was iv contrast given to the patient?,yes
1610,synpic100469,is this a ct scan?,yes
1622,synpic53911,is this a ct scan?,no
1623,synpic39607,is this a t2 weighted image?,no
1626,synpic55315,is this a noncontrast mri?,yes
1627,synpic17481,was the ct scan taken with contrast?,no
1628,synpic50333,was iv contrast given to the patient?,yes
1629,synpic57750,is this a ct scan?,no
1634,synpic23548,is this a t1 weighted image?,no
